Dışa Aktarım Tarihi:,09.06.2026 11:42:42
Toplam Kayıt Sayısı:,20086

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DNL,DENİZ PORTFÖY NEKO SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"52,435016",3984706.00,1,"208938123,27"
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,22.05.2026,"48,674736",33446535.00,1167,"1628001251,14"
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,22.05.2026,"1,302804",1188424534.00,283,"1548284174,32"
DNU,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONBEŞİNCİ SERBEST (DÖVİZ) FON,22.05.2026,"45,399586",822105.00,15,"37323226,53"
DOC,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONİKİNCİ SERBEST (DÖVIZ) FON,22.05.2026,"45,502436",102287137.00,175,"4654313925,55"
DOD,AZİMUT PORTFÖY 14.0 SERBEST (DÖVİZ) FON,22.05.2026,"64,644692",253003044.00,24,"16355303828,85"
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,93966",428575554.00,4793,"831290907,94"
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,22.05.2026,"49,714453",100851540.00,386,"5013779193,69"
DOR,AZİMUT PORTFÖY OKSİJEN SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"67,109114",7202725.00,1,"483368495,20"
DOS,DENİZ PORTFÖY OLMİ SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"65,918787",46849209.00,2,"3088243049,66"
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,22.05.2026,"57,352792",1311244179.00,17742,"75203514991,83"
DP1,DENİZ PORTFÖY DELTA SERBEST ÖZEL FON,22.05.2026,"16,917447",284576837.00,7,"4814313672,00"
DP2,DENİZ PORTFÖY ÖZER SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"63,093139",5419283.00,11,"341919577,01"
DP3,DENİZ PORTFÖY DUMAN SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"65,481125",4063967.00,4,"266113129,51"
DP4,DENİZ PORTFÖY GİZEM SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"68,871696",7508751.00,3,"517140414,04"
DP5,DENİZ PORTFÖY MER SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"75,329663",21656874.00,1,"1631405019,93"
DP6,DENİZ PORTFÖY KAR PAYI ÖDEYEN BEŞİNCİ SERBEST (DÖVİZ) FON,22.05.2026,"45,553607",40292811.00,213,"1835482892,19"
DP7,DENİZ PORTFÖY DEMİR SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"57,335003",9001782.00,3,"516117200,88"
