Dışa Aktarım Tarihi:,19.06.2026 11:49:06
Toplam Kayıt Sayısı:,2020

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,19.06.2026,"1,593132",25050688.00,230,"39909057,42"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,19.06.2026,"1,295204",13118550.00,268,"16991201,99"
BOP,İŞ PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"47,323552",24454727.00,9,"1157284556,06"
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,511617",1737142914.00,1103,"2625893986,83"
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,636633",245967790.00,15,"402559060,58"
BPD,BULLS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,19.06.2026,"52,191589",2748429.00,11,"143444875,47"
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,19.06.2026,"1,473778",300233382.00,612,"442477311,02"
BRB,BULLS PORTFÖY ARENA SERBEST FON,19.06.2026,"1,096275",659840963.00,11,"723366947,10"
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,282256",101292720.00,35,"129883167,70"
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,19.06.2026,"1,634264",62674529.00,1176,"102426739,97"
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,19.06.2026,"4,785747",384508937.00,1580,"1840162484,81"
BRH,İSTANBUL PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"7,124981",805715932.00,15,"5740710744,65"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,19.06.2026,"1,553294",105204581.00,268,"163413608,36"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,163955",23972045.00,422,"27902372,67"
BRZ,TEB PORTFÖY BURGAZ SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"52,619515",32662700.00,5,"1718695446,10"
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,19.06.2026,"1,209241",6850613.00,137,"8284040,78"
BSA,İŞ PORTFÖY BAŞAK SERBEST ÖZEL FON,19.06.2026,"0,429791",2039522977.00,1,"876568196,83"
BSC,A1 CAPİTAL PORTFÖY BİRİNCİ SERBEST FON,19.06.2026,"0,244665",957333901.00,42,"234226048,92"
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,19.06.2026,"1,145561",265232070.00,93,"303839429,37"
