Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
GZO,GARANTİ PORTFÖY ÖZM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,296851"
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"7,049907"
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,661729"
GZU,GARANTİ PORTFÖY EKE SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,070065"
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,30.04.2026,"7,929946"
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"6,975694"
GZZ,GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"6,476452"
HAE,HSBC PORTFÖY EKİM 2026 SERBEST (DÖVİZ) FON,30.04.2026,"52,238728"
HAG,GARANTİ PORTFÖY EKİM 2026 SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"57,78126"
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,30.04.2026,"3,063779"
HAR,BV PORTFÖY HARMONY SERBEST FON,30.04.2026,"1,056852"
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,803759"
HB1,ZİRAAT PORTFÖY HALKBANK SERBEST (DÖVİZ-AMERİKAN DOLARI) FON,30.04.2026,"47,022429"
HB2,ZİRAAT PORTFÖY HALKBANK SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,366457"
HBF,HSBC PORTFÖY ALTIN FONU,30.04.2026,"50,04015"
HBJ,HAS PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"2,388912"
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"4,047076"
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,458304"
HBV,HEDEF PORTFÖY DORUK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"15,755729"
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,30.04.2026,"0,991127"
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,849756"
HDE,HSBC PORTFÖY BEŞİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,215239"
HDH,HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"9427,181553"
HDJ,HEDEF PORTFÖY ARTI SERBEST (TL) FON,30.04.2026,"5,791798"
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,813032"
HDS,HEDEF PORTFÖY SERBEST (TL) FON,30.04.2026,"15,3656"
HDV,HSBC PORTFÖY YEDİNCİ SERBEST (DÖVİZ-POUND) FON,30.04.2026,"61,844606"
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,931907"
HFA,HSBC PORTFÖY ALLİANZ SERBEST ÖZEL FON,30.04.2026,"2,922639"
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,634747"
HFR,A1 CAPİTAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,486894"
HFV,HSBC PYŞ ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"59,351446"
HFY,ALBARAKA PORTFÖY HAYAT FİNANS KISA VADELİ KATILIM SERBEST FON,30.04.2026,"1,167482"
HGC,HSBC PORTFÖY MART 2027 SERBEST (DÖVİZ) FON,30.04.2026,"49,408812"
HGH,HEDEF PORTFÖY GÜNEŞ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,766483"
HGJ,HEDEF PORTFÖY GÜNEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"13,546243"
HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,980116"
HGR,HEDEF PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,30.04.2026,"1,209868"
HGT,AZİMUT PORTFÖY 15.0 SERBEST (DÖVİZ) FON,30.04.2026,"88,520371"
HGU,HSBC PORTFÖY GÜÇLÜ SERBEST ÖZEL FON,30.04.2026,"4,434046"
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"5,313156"
HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,388727"
HIF,HEDEF PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"0,621119"
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,405538"
HII,HSBC PYŞ BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"3,091609"
HIM,HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,597824"
HIP,HSBC PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"1,920089"
HIS,HEDEF PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,480847"
HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,30.04.2026,"1,900329"
HJA,AZİMUT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"28,160803"
HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"4,34785"
HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,30.04.2026,"1,383264"
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,341399"
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,30.04.2026,"1,227227"
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"4,699485"
HKP,HEDEF PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"5,524585"
HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,948709"
HKV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"525,808083"
HLA,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,241594"
HLL,ZİRAAT PORTFÖY HALKBANK PARA PİYASASI (TL) FONU,30.04.2026,"0,338622"
HLR,HEDEF PORTFÖY ADA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"239,258268"
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,30.04.2026,"7,485326"
HME,HSBC PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"50,643382"
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,061099"
HMK,HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"299,55831"
HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"45,940322"
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,103573"
HMT,AZİMUT PORTFÖY 12.0 SERBEST FON,30.04.2026,"6,770075"
HMV,HEDEF PORTFÖY MAVİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"18,127527"
HNC,HEDEF PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,3789"
HNS,HSBC PORTFÖY KAR PAYI ÖDEYEN MAYIS 2029 SERBEST (DÖVİZ) FON,30.04.2026,"46,600237"
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,30.04.2026,"0,217595"
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,30.04.2026,"0,327356"
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,30.04.2026,"54,200596"
HPC,ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON,30.04.2026,"11,567553"
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,210832"
HPF,HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"31,970389"
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,30.04.2026,"2,119528"
HPI,HEDEF PORTFÖY İDEAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,276786"
HPJ,AZİMUT PORTFÖY HP HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,728427"
HPL,HEDEF PORTFÖY ÇINAR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,524993"
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,30.04.2026,"0,153188"
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,101168"
HPV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,30.04.2026,"6,93665"
HPZ,HEDEF PORTFÖY ZEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),30.04.2026,"582,657795"
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,218879"
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,30.04.2026,"1540,705301"
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"366,113544"
HSP,HSBC PORTFÖY KAR PAYI ÖDEYEN MAYIS 2026 SERBEST (DÖVİZ) FON,30.04.2026,"45,268635"
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,913909"
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,283162"
HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,30.04.2026,"1,64928"
HTS,HSBC PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,30.04.2026,"51,983921"
HTZ,HEDEF PORTFÖY TURKUAZ SERBEST FON,30.04.2026,"15,168029"
HUI,AZİMUT PORTFÖY CAN HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"86,580189"
HUS,HEDEF PORTFÖY UĞUR SERBEST FON,30.04.2026,"0,003629"
HVA,HEDEF PORTFÖY ECE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"306,511583"
HVB,HEDEF PORTFÖY PUSULA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,765587"
HVC,HEDEF PORTFÖY ROTA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"25,012408"
HVI,DENİZ PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,248439"
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"5,0891"
HVL,HEDEF PORTFÖY POYRAZ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"20,467122"
HVN,HEDEF PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"5,419145"
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,574896"
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"4,167521"
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"5,348292"
HVV,AK PORTFÖY HERAKLES SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,712025"
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"6,801009"
HYK,HEDEF PORTFÖY AKDENİZ SERBEST FON,30.04.2026,"10,079606"
HYP,AZİMUT PORTFÖY İVME SERBEST FON,30.04.2026,"9,072121"
HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,30.04.2026,"1,598352"
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"5,621099"
HYY,AK PORTFÖY HERAKLES SERBEST ÖZEL FON,30.04.2026,"12,185176"
HZV,AK PORTFÖY HEZ SERBEST ÖZEL FON,30.04.2026,"5,758018"
IAC,İŞ PORTFÖY MZS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"4,11561"
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,30.04.2026,"1,963411"
IAF,İSTANBUL PORTFÖY ARK I SERBEST FON,30.04.2026,"0,871547"
IAI,İŞ PORTFÖY TOROS SERBEST ÖZEL FON,30.04.2026,"6,537456"
IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,30.04.2026,"1,619394"
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,30.04.2026,"72,867175"
IAS,QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,175199"
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,30.04.2026,"0,177794"
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,399192"
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,30.04.2026,"1,486385"
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,30.04.2026,"14,226491"
IBC,İŞ PORTFÖY CENOVA SERBEST ÖZEL FON,30.04.2026,"17,364023"
IBE,İSTANBUL PORTFÖY BEŞİNCİ SERBEST FON,30.04.2026,"22,29094"
IBG,AZİMUT PYŞ BİRİNCİ SERBEST FON,30.04.2026,"1,456448"
IBJ,AZİMUT PORTFÖY 18.0 SERBEST (DÖVİZ) FON,30.04.2026,"60,524197"
IBK,İŞ PORTFÖY MAXİMUM KART KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,121501"
IBM,İSTANBUL PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,30.04.2026,"3,559838"
IBP,İŞ PORTFÖY GED SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,33744"
IBR,AZİMUT PYŞ MUTLAK GETİRİ HEDEFLİ SERBEST FON,30.04.2026,"0,266546"
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,30.04.2026,"0,54599"
ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"1,266968"
ICD,ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"121,563607"
ICE,ICBC TURKEY PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"113,520227"
ICF,ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"185,131694"
ICG,İŞ PORTFÖY ARCADİA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,475544"
ICH,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"2,018178"
ICN,İSTANBUL PORTFÖY ÜÇÜNCÜ İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,30.04.2026,"3,761335"
ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"47,85427"
ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"5,509189"
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,277842"
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,30.04.2026,"0,149294"
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"71,752989"
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"12,548854"
IDI,AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,469392"
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"5,348747"
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,865156"
IDP,PİRAMİT PORTFÖY SİRİUS HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,902731"
IDV,İŞ PORTFÖY ACHS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,006987"
IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,21229"
IED,İŞ PORTFÖY AGRESİF DEĞİŞKEN FON,30.04.2026,"0,983395"
IEN,İSTANBUL PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,271068"
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,30.04.2026,"4,795697"
IEZ,INVEO PORTFÖY ELMA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"4,998016"
IFD,İŞ PORTFÖY FINDIKLI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,022272"
IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"9,492692"
IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"4,153537"
IFY,İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,30.04.2026,"6,80595"
IGF,İŞ PORTFÖY GÜZEL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,180199"
IGL,TEB PORTFÖY ING BANK PARA PİYASASI (TL) FONU,30.04.2026,"513,980473"
IGM,İŞ PORTFÖY ÜNİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,616338"
IGZ,İŞ PORTFÖY ÜNİ HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"10,539565"
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,166743"
IHC,INVEO PORTFÖY INTER SERBEST FON,30.04.2026,"6,641627"
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"16,95795"
IHP,İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,698738"
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,696964"
IHV,INVEO PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,888351"
IHY,BULLS PORTFÖY GMS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,139921"
IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,026361"
IIA,İSTANBUL PORTFÖY ONBİRİNCİ SERBEST (TL) FON,30.04.2026,"6,321383"
IIC,İSTANBUL PORTFÖY ONÜÇÜNCÜ SERBEST (TL) FON,30.04.2026,"3,258596"
IIE,BULLS PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"8,931599"
IIF,İŞ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,318474"
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"32,708865"
IIN,INVEO PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,239211"
IIP,İSTANBUL PORTFÖY ARİES SERBEST FON,30.04.2026,"0,322119"
IIS,İSTANBUL PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"86,856832"
IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,30.04.2026,"13,217141"
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,30.04.2026,"5,867371"
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"14,236184"
IJE,İŞ PORTFÖY EFON SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,329325"
IJF,AZİMUT PORTFÖY EREN SERBEST ÖZEL FON,30.04.2026,"9,712428"
IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"6,668301"
IJI,İSTANBUL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON ),30.04.2026,"9,759631"
IJK,İSTANBUL PORTFÖY KEREM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,559572"
IJL,İSTANBUL PORTFÖY SPİCA SERBEST (DÖVİZ) FON,30.04.2026,"50,517476"
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,30.04.2026,"7,849909"
IJT,İŞ PORTFÖY TARIM SERBEST FON,30.04.2026,"6,559505"
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"4,994103"
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"10,69615"
IK2,İŞ PORTFÖY KAR PAYI ÖDEYEN İKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"44,748679"
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,30.04.2026,"8,608881"
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,30.04.2026,"8,757874"
IKV,İŞ PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"1,365218"
ILC,İŞ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"47,600675"
ILE,İŞ PORTFÖY ANADOLU SİGORTA  SERBEST (TL) ÖZEL FON,30.04.2026,"4,582711"
ILH,İŞ PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,30.04.2026,"3,54086"
ILI,İŞ PORTFÖY İKİNCİ SERBEST (TL) FON,30.04.2026,"5,185078"
ILM,İSTANBUL PORTFÖY ONUNCU SERBEST FON,30.04.2026,"7,022427"
ILP,İŞ PORTFÖY POLMİNE SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,021722"
ILU,İSTANBUL PORTFÖY ONALTINCI SERBEST FON,30.04.2026,"1,084734"
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,30.04.2026,"7,567015"
IMB,İSTANBUL PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,207005"
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,30.04.2026,"5,300416"
IMG,GARANTİ PORTFÖY ING BANK KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,30.04.2026,"46,477338"
IMH,İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON,30.04.2026,"6,206578"
IML,İŞ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,654557"
IMO,İŞ PORTFÖY ODAK SERBEST ÖZEL FON,30.04.2026,"5,305357"
IMS,İŞ PORTFÖY MERMER SERBEST ÖZEL FON,30.04.2026,"14,49849"
IMT,İŞ PORTFÖY TOROS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,209502"
IMY,İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"69,255756"
IMZ,İŞ PORTFÖY POYRAZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"68,960897"
INH,GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON,30.04.2026,"13,726731"
INV,INVEO PORTFÖY İSTATİSTİKSEL ARBİTRAJ KAR PAYI ÖDEYEN SERBEST (TL) ÖZEL FON,30.04.2026,"42,648407"
INZ,INVEO PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,30.04.2026,"3,058483"
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,30.04.2026,"14,32274"
IOH,İŞ PORTFÖY ONSEKİZİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"48,770184"
IOJ,İŞ PORTFÖY EKİM 2026 SERBEST (DÖVİZ) FON,30.04.2026,"48,241335"
IOL,İŞ PORTFÖY OSK SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,964556"
