Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,529597"
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,442367"
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,437608"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,448611"
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"1,632915"
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,266399"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,30.04.2026,"49,628784"
BKO,AZİMUT PORTFÖY BİRİNCİ KATILIM SERBEST ÖZEL FON,30.04.2026,"1,135811"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"46,101058"
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,181645"
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,30.04.2026,"1,479719"
BLT,BULLS PORTFÖY ALTIN FONU,30.04.2026,"1,705495"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,459725"
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,30.04.2026,"1,977935"
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,252207"
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,932046"
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,546442"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,239979"
BOP,İŞ PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"45,854268"
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,418979"
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,710643"
BPD,BULLS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"49,701485"
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"1,388513"
BRB,BULLS PORTFÖY ARENA SERBEST FON,30.04.2026,"1,318164"
