Dışa Aktarım Tarihi:,04.05.2026 11:10:45
Toplam Kayıt Sayısı:,1997

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,686323",2300561650.00,13,"1578927456,65"
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,825626",331388445.00,12,"936379918,88"
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,04.05.2026,"2,038347",14512703.00,777,"29581928,06"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,04.05.2026,"1,402755",794507830.00,778,"1114499870,03"
BCC,QINVEST PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"64,421624",40223343.00,2,"2591253096,96"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,04.05.2026,"1,819536",63512267.00,1936,"115562860,84"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,04.05.2026,"1,717759",25577855.00,459,"43936587,84"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,04.05.2026,"53,236274",23454709.00,449,"1248641315,75"
BDC,AURA PORTFÖY BODRUM SERBEST FON,04.05.2026,"8,979746",43266558.00,40,"388522684,31"
BDI,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,63349",815396609.00,74,"516545413,49"
BDO,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,922534",1678298973.00,11,"4904886162,16"
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,46346",215114720.00,12162,"529926443,37"
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,609322",64798868.00,2443,"104282262,44"
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,04.05.2026,"1,746378",5237992.00,62,"9147512,12"
BFO,İŞ PORTFÖY BFO1 SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"49,776375",70633762.00,1,"3515892657,48"
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,04.05.2026,"1,019622",6384926.00,56,"6510212,74"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,163382",238380086.00,582,"277327144,75"
BGH,AZİMUT PORTFÖY BGN SERBEST ÖZEL FON,04.05.2026,"2,126937",470029440.00,1,"999723223,02"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,04.05.2026,"5,813577",10263718337.00,30901,"59668919652,11"
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,544827",61750080.00,865,"95393203,51"
BHE,AK PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,953498",20850393.00,83,"40731198,39"
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,04.05.2026,"2,984698",109688434.00,2506,"327386809,73"
BHH,PARDUS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,627323",1900526760.00,74,"1192244387,87"
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,096245",302979806.00,363,"635119851,18"
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,235761",53761347.00,801,"66436149,12"
BHO,AZİMUT PORTFÖY BİRİNCİ PY HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,125122",931314599.00,1,"1047842414,16"
BI5,BULLS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,423867",160500765.00,12,"389032499,50"
BIA,TRİVE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,211093",2560193.00,12,"540439,65"
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"3,358187",84395036.00,2246,"283414270,96"
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,382004",418462200.00,3766,"578316469,99"
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"7,559471",99733657.00,422,"753933668,30"
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,46683",2323018343.00,14,"3407472875,56"
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"2,452201",446936221.00,11966,"1095977290,83"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,04.05.2026,"1,455001",3861538676.00,193,"5618541917,36"
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,04.05.2026,"1,63512",496649621.00,77,"812081550,84"
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,275234",61720723.00,322,"78708394,17"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,04.05.2026,"49,626095",21078537.00,74,"1046045478,88"
BKO,AZİMUT PORTFÖY BİRİNCİ KATILIM SERBEST ÖZEL FON,04.05.2026,"1,140529",2697406259.00,1,"3076469542,02"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,04.05.2026,"46,109865",48588458.00,594,"2240407237,54"
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"7,111894",934440204.00,15,"6645640025,98"
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,04.05.2026,"1,486025",327685643.00,756,"486949118,93"
BLT,BULLS PORTFÖY ALTIN FONU,04.05.2026,"1,707732",207195925.00,2976,"353835033,19"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,433295",832034832.00,12,"1192551583,54"
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,04.05.2026,"1,976494",357823726.00,256,"707236354,50"
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,261764",103302581.00,197,"130343477,65"
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,941541",250569682.00,11,"235921654,16"
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,04.05.2026,"1,545189",26926352.00,253,"41606304,99"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,04.05.2026,"1,240439",16711799.00,321,"20729975,45"
BOP,İŞ PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"45,788553",24504227.00,9,"1122013100,82"
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,430504",1664599346.00,1347,"2381216163,31"
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,578094",266834182.00,15,"421089468,71"
